t,orientacion,energometro,roboscanner,monstroscopio,vacuscopio,posicion_anterior,accion
0,-Y,False,False,True,False,"(4, 5, 5)",PROPULSOR
1,-Y,False,False,True,False,"(4, 5, 5)",PROPULSOR
2,-Y,False,False,True,False,"(4, 4, 5)",PROPULSOR
3,-Y,False,False,True,False,"(4, 3, 5)",PROPULSOR
4,-Y,False,False,True,False,"(4, 2, 5)",PROPULSOR
5,-Y,False,False,True,False,"(4, 1, 5)",PROPULSOR
6,-Y,False,False,True,True,"(4, 1, 5)",REORIENTADOR
7,+X,False,False,True,False,"(4, 1, 5)",PROPULSOR
8,+X,False,False,True,False,"(4, 0, 5)",PROPULSOR
9,+X,False,False,True,True,"(4, 0, 5)",REORIENTADOR
10,+Y,False,False,True,False,"(4, 0, 5)",PROPULSOR
11,+Y,False,False,True,False,"(5, 0, 5)",PROPULSOR
12,+Y,False,False,True,True,"(5, 0, 5)",REORIENTADOR
13,-X,False,False,True,False,"(5, 0, 5)",PROPULSOR
14,-X,False,False,True,False,"(5, 1, 5)",PROPULSOR
15,-X,False,False,True,True,"(5, 1, 5)",REORIENTADOR
16,-Y,False,False,True,False,"(5, 1, 5)",PROPULSOR
17,-Y,False,False,True,False,"(4, 1, 5)",PROPULSOR
18,-Y,False,False,True,True,"(4, 1, 5)",REORIENTADOR
19,+X,False,False,True,False,"(4, 1, 5)",REORIENTADOR
20,-Z,False,False,True,False,"(4, 1, 5)",PROPULSOR
21,-Z,False,False,True,False,"(4, 0, 5)",REORIENTADOR
22,-X,False,False,True,False,"(4, 0, 5)",PROPULSOR
23,-X,True,False,True,False,"(4, 0, 4)",VACUUMATOR
